Date,"	Time","	DetNo","		Stable","		GMean","			OMean","			Gain","					HV","						Offset",,,,,,,,,,,,,,,,,,,,,
3/12/2021,7:02,1,1,180.045144,0,0.689922,885,0,2,1,179.98655,0,0.65828,785,0,3,1,179.941566,0,0.711789,885,0,4,1,180.086265,0,0.676705,815,0
3/12/2021,7:48,1,1,180.045144,0,0.689922,885,0,2,1,179.98655,0,0.65828,785,0,3,1,179.941566,0,0.711789,885,0,4,1,180.086265,0,0.676705,815,0
3/12/2021,8:34,1,1,180.045144,0,0.689922,885,0,2,1,179.98655,0,0.65828,785,0,3,1,179.941566,0,0.711789,885,0,4,1,180.086265,0,0.676705,815,0
3/12/2021,9:20,1,1,180.045144,0,0.689922,885,0,2,1,179.98655,0,0.65828,785,0,3,1,179.941566,0,0.711789,885,0,4,1,180.086265,0,0.676705,815,0
3/12/2021,10:06,1,1,180.045144,0,0.689922,885,0,2,1,179.98655,0,0.65828,785,0,3,1,179.941566,0,0.711789,885,0,4,1,180.086265,0,0.676705,815,0
3/12/2021,10:52,1,1,180.045144,0,0.689922,885,0,2,1,179.98655,0,0.65828,785,0,3,1,179.941566,0,0.711789,885,0,4,1,180.086265,0,0.676705,815,0
3/12/2021,11:38,1,1,180.045144,0,0.689922,885,0,2,1,179.98655,0,0.65828,785,0,3,1,179.941566,0,0.711789,885,0,4,1,180.086265,0,0.676705,815,0
3/12/2021,12:24,1,1,180.045144,0,0.689922,885,0,2,1,179.98655,0,0.65828,785,0,3,1,179.941566,0,0.711789,885,0,4,1,180.086265,0,0.676705,815,0
3/12/2021,13:10,1,1,180.045144,0,0.689922,885,0,2,1,179.98655,0,0.65828,785,0,3,1,179.941566,0,0.711789,885,0,4,1,180.086265,0,0.676705,815,0
3/12/2021,13:56,1,1,180.045144,0,0.689922,885,0,2,1,179.98655,0,0.65828,785,0,3,1,179.941566,0,0.711789,885,0,4,1,180.086265,0,0.676705,815,0
3/12/2021,14:42,1,1,180.045144,0,0.689922,885,0,2,1,179.98655,0,0.65828,785,0,3,1,179.941566,0,0.711789,885,0,4,1,180.086265,0,0.676705,815,0
3/12/2021,15:28,1,1,180.045144,0,0.689922,885,0,2,1,179.98655,0,0.65828,785,0,3,1,179.941566,0,0.711789,885,0,4,1,180.086265,0,0.676705,815,0
3/12/2021,16:14,1,1,180.045144,0,0.689922,885,0,2,1,179.98655,0,0.65828,785,0,3,1,179.941566,0,0.711789,885,0,4,1,180.086265,0,0.676705,815,0
3/12/2021,17:00,1,1,180.045144,0,0.689922,885,0,2,1,179.98655,0,0.65828,785,0,3,1,179.941566,0,0.711789,885,0,4,1,180.086265,0,0.676705,815,0
3/12/2021,17:46,1,1,180.045144,0,0.689922,885,0,2,1,179.98655,0,0.65828,785,0,3,1,179.941566,0,0.711789,885,0,4,1,180.086265,0,0.676705,815,0
3/12/2021,18:32,1,1,180.045144,0,0.689922,885,0,2,1,179.98655,0,0.65828,785,0,3,1,179.941566,0,0.711789,885,0,4,1,180.086265,0,0.676705,815,0
3/12/2021,19:18,1,1,180.045144,0,0.689922,885,0,2,1,179.98655,0,0.65828,785,0,3,1,179.941566,0,0.711789,885,0,4,1,180.086265,0,0.676705,815,0
3/12/2021,20:02,1,1,180.045144,0,0.689922,885,0,2,1,179.98655,0,0.65828,785,0,3,1,179.941566,0,0.711789,885,0,4,1,180.086265,0,0.676705,815,0
3/12/2021,20:50,1,1,180.045144,0,0.689922,885,0,2,1,179.98655,0,0.65828,785,0,3,1,179.941566,0,0.711789,885,0,4,1,180.086265,0,0.676705,815,0
3/12/2021,21:36,1,1,180.045144,0,0.689922,885,0,2,1,179.98655,0,0.65828,785,0,3,1,179.941566,0,0.711789,885,0,4,1,180.086265,0,0.676705,815,0
3/12/2021,22:23,1,1,180.045144,0,0.689922,885,0,2,1,179.98655,0,0.65828,785,0,3,1,179.941566,0,0.711789,885,0,4,1,180.086265,0,0.676705,815,0
3/12/2021,23:07,1,1,180.045144,0,0.689922,885,0,2,1,179.98655,0,0.65828,785,0,3,1,179.941566,0,0.711789,885,0,4,1,180.086265,0,0.676705,815,0
3/12/2021,23:55,1,1,180.045144,0,0.689922,885,0,2,1,179.98655,0,0.65828,785,0,3,1,179.941566,0,0.711789,885,0,4,1,180.086265,0,0.676705,815,0
4/12/2021,0:41,1,1,180.045144,0,0.689922,885,0,2,1,179.98655,0,0.65828,785,0,3,1,179.941566,0,0.711789,885,0,4,1,180.086265,0,0.676705,815,0
4/12/2021,1:27,1,1,180.045144,0,0.689922,885,0,2,1,179.98655,0,0.65828,785,0,3,1,179.941566,0,0.711789,885,0,4,1,180.086265,0,0.676705,815,0
4/12/2021,2:11,1,1,180.045144,0,0.689922,885,0,2,1,179.98655,0,0.65828,785,0,3,1,179.941566,0,0.711789,885,0,4,1,180.086265,0,0.676705,815,0
4/12/2021,2:59,1,1,180.045144,0,0.689922,885,0,2,1,179.98655,0,0.65828,785,0,3,1,179.941566,0,0.711789,885,0,4,1,180.086265,0,0.676705,815,0
4/12/2021,3:45,1,1,180.045144,0,0.689922,885,0,2,1,179.98655,0,0.65828,785,0,3,1,179.941566,0,0.711789,885,0,4,1,180.086265,0,0.676705,815,0
4/12/2021,4:30,1,1,180.045144,0,0.689922,885,0,2,1,179.98655,0,0.65828,785,0,3,1,179.941566,0,0.711789,885,0,4,1,180.086265,0,0.676705,815,0
4/12/2021,5:15,1,1,180.045144,0,0.689922,885,0,2,1,179.98655,0,0.65828,785,0,3,1,179.941566,0,0.711789,885,0,4,1,180.086265,0,0.676705,815,0
4/12/2021,6:01,1,1,180.045144,0,0.689922,885,0,2,1,179.98655,0,0.65828,785,0,3,1,179.941566,0,0.711789,885,0,4,1,180.086265,0,0.676705,815,0
4/12/2021,6:49,1,1,180.045144,0,0.689922,885,0,2,1,179.98655,0,0.65828,785,0,3,1,179.941566,0,0.711789,885,0,4,1,180.086265,0,0.676705,815,0
4/12/2021,7:33,1,1,180.045144,0,0.689922,885,0,2,1,179.98655,0,0.65828,785,0,3,1,179.941566,0,0.711789,885,0,4,1,180.086265,0,0.676705,815,0
4/12/2021,8:19,1,1,180.045144,0,0.689922,885,0,2,1,179.98655,0,0.65828,785,0,3,1,179.941566,0,0.711789,885,0,4,1,180.086265,0,0.676705,815,0
4/12/2021,9:05,1,1,180.045144,0,0.689922,885,0,2,1,179.98655,0,0.65828,785,0,3,1,179.941566,0,0.711789,885,0,4,1,180.086265,0,0.676705,815,0
4/12/2021,9:53,1,1,180.045144,0,0.689922,885,0,2,1,179.98655,0,0.65828,785,0,3,1,179.941566,0,0.711789,885,0,4,1,180.086265,0,0.676705,815,0
